genres,popularity,vote_average,spoken_languages
"Science Fiction, Action",10.124544,6.9,English
Adventure,6.455738,5.6,English
Adventure,2.689455,4.8,English
Comedy,5.099557,6.3,Français
Comedy,3.81584,5.3,Français
Comedy,4.052991,6.4,Français
"Action, Mystery, Science Fiction, Thriller",6.497591,6.1,English
"Action, Adventure, Science Fiction, Thriller",2.305426,3.1,English
"Action, Fantasy, Adventure",9.488117,5.3,"English, ภาษาไทย"
"Fantasy, Action, Adventure",18.691187,4.3,English
"Action, Fantasy, Adventure",6.922123,3.9,English
"Action, Fantasy, Adventure",10.907809,4.5,English
"Comedy, Horror",9.468736,6.9,English
"Comedy, Horror",2.59351,6.2,English
"Comedy, Family, Fantasy",17.555909,6.5,English
"Horror, Comedy, Fantasy",12.962525,6.7,English
"Comedy, Family, Fantasy, Thriller, TV Movie",7.996398,3.9,"English, Français"
"Animation, Comedy",0.596529,6.0,日本語
"Family, Animation, Adventure",12.140733,7.1,English
"Family, Animation, Adventure",5.697362,6.2,English
"Family, Adventure, Animation",4.818355,6.6,Polski
"Action, Adventure, Drama, Thriller",13.35278,6.1,English
"Action, Crime, Thriller",18.957084,6.8,English
"Action, Thriller",16.201377,7.3,English
"Thriller, Action, Crime",67.955052,5.8,English
"Horror, Action, Thriller",5.701278,2.8,English
"TV Movie, Horror",2.693566,4.0,English
"Drama, Horror",5.603312,6.6,English
"Drama, Horror",3.523822,6.2,"Italiano, English"
"Drama, Horror",2.522054,6.0,"English, Italiano, Español"
"Horror, Thriller",3.040468,5.1,"Italiano, Deutsch, English"
"Horror, Mystery",1.127098,4.3,"Deutsch, English"
Comedy,8.051891,6.4,English
Comedy,7.348632,4.9,English
"Animation, Action, Fantasy",5.777354,7.2,日本語
"Action, Adventure, Animation, Fantasy, Horror",10.862777,7.1,日本語
"Animation, Action, Fantasy",8.141653,7.4,日本語
Documentary,1.142239,6.6,English
"Drama, Thriller",0.597424,5.4,svenska
"Crime, Drama, Thriller",1.142933,6.7,svenska
"Drama, Thriller",2.762073,5.6,"English, svenska"
"Adventure, Family",3.723069,7.0,svenska
Family,3.017903,6.7,svenska
"Adventure, Family",3.162375,7.0,"svenska, Deutsch"
"Animation, Family",6.212702,5.1,English
"Animation, Family",1.585311,4.5,English
"Adventure, Fantasy, Action",32.070725,8.0,English
"Adventure, Fantasy, Action",29.423537,8.0,English
"Adventure, Fantasy, Action",29.324358,8.1,English
"Romance, Comedy",11.7129,6.5,English
"Comedy, Family, Romance",7.529482,6.5,English
"Action, Foreign, Thriller",0.60719,6.4,
"Drama, Crime, Thriller, Action",0.430769,5.7,日本語
Action,0.142424,7.7,日本語
Horror,0.365884,6.8,日本語
"Drama, Action, Crime",10.759577,7.8,Português
"Drama, Action, Crime",12.334357,7.5,Português
"Drama, Horror, Thriller",36.826309,8.3,English
"Horror, Mystery, Thriller",6.370495,6.0,English
"Horror, Thriller",6.345885,5.4,English
"Action, Adventure, Family",1.432761,7.4,Pусский
"Action, Adventure, Family",0.590717,6.0,Pусский
"Action, Adventure, Family",0.352603,5.7,Pусский
"Adventure, History",1.313907,6.5,Pусский
"Adventure, History",0.156648,5.7,Pусский
"Adventure, History",0.035138,2.0,Pусский
"Comedy, Drama",2.148946,7.0,Norsk
Comedy,0.466995,5.7,Norsk
Comedy,1.176414,6.4,English
"Comedy, Family, Science Fiction",5.381183,5.6,English
"Comedy, Adventure",5.309602,5.4,English
"Action, Comedy",0.381581,7.3,English
"Action, Crime, Fantasy",13.321354,5.2,English
"Fantasy, Action",19.10673,7.0,"English, Français"
"Action, Fantasy",15.001681,6.6,English
"Action, Crime, Fantasy",17.038824,4.2,English
"Comedy, Family, Fantasy",10.091707,6.0,"Español, English, 广州话 / 廣州話"
"Romance, Comedy, Family, Fantasy",4.914603,5.9,English
"Fantasy, Comedy, Family, Adventure",3.13734,5.3,"Español, English"
"Romance, Comedy, Family, Action, Adventure",4.705091,5.9,"Français, English"
"Comedy, Family, Adventure, Fantasy, Romance",9.35239,5.1,English
"Fantasy, Adventure, Comedy, Family",4.482274,5.0,English
"Animation, Drama, Comedy",0.392253,5.9,广州话 / 廣州話
"Action, Thriller",0.00195,5.0,English
"Drama, Romance",6.706262,5.8,English
"Drama, Romance",1.72106,4.4,English
Comedy,2.850417,6.4,Français
"Adventure, Fantasy, Action",23.253089,7.0,English
"Adventure, Fantasy",20.644776,7.6,English
"Action, Adventure, Fantasy",31.718977,7.1,English
"Horror, Science Fiction",12.758848,6.1,English
"Action, Horror, Science Fiction",4.92638,4.4,English
"Action, Comedy",7.404755,7.2,广州话 / 廣州話
"Action, Comedy",8.6807,7.2,广州话 / 廣州話
"Action, Thriller, Foreign",0.450367,5.0,广州话 / 廣州話
"Animation, Comedy, Drama",1.760091,6.1,Pусский
"Adventure, Animation, Comedy, Drama, Fantasy",1.833185,6.4,Pусский
Animation,0.469112,5.3,Pусский
"Adventure, Animation, Comedy, Fantasy",0.922398,6.0,Pусский
"Animation, Family, Comedy, Adventure",1.412333,5.6,Pусский
"Action, Romance, Thriller",1.430582,6.5,தமிழ்
Action,2.174859,6.0,"தமிழ், తెలుగు"
"Drama, Horror, Thriller",12.137595,7.5,"Deutsch, Français, Latin, العربية, ελληνικά, English"
"Horror, Thriller, Fantasy",8.266984,4.5,"English, Français, Español"
"Thriller, Horror, Mystery",5.861032,6.1,"English, Italiano"
"Horror, Mystery, Thriller",13.02369,4.7,English
"Horror, Thriller",7.892677,4.8,English
"Animation, Science Fiction",2.10348,6.4,日本語
"Thriller, Animation, Action, Drama",2.640175,7.1,日本語
Comedy,3.022666,7.6,Pусский
Comedy,0.95369,8.3,Pусский
Comedy,0.896702,7.6,Pусский
Comedy,1.14731,6.3,Pусский
"Romance, Comedy",1.565713,5.8,Pусский
Comedy,0.796854,7.0,Pусский
Comedy,0.009626,0.0,English
"Thriller, Action, Science Fiction",0.934723,6.3,Pусский
"Adventure, Fantasy, Action, Drama",6.502566,4.1,English
"Adventure, Fantasy, Drama, Action",4.515396,4.1,English
"Action, Adventure, Drama, Fantasy",2.433784,3.3,English
"Drama, Action, Thriller",0.22142,5.0,Magyar
"Adventure, Action, Comedy",3.782615,7.1,广州话 / 廣州話
"Adventure, Action, Comedy, Foreign",2.649091,6.4,普通话
"Horror, Thriller",1.789046,4.4,"English, Italiano"
"Action, Science Fiction, Thriller",1.414972,3.6,English
"Action, Adventure, Animation, Fantasy, Horror, Mystery, Science Fiction",5.204291,7.0,日本語
"Animation, Fantasy, Horror",3.74515,6.6,日本語
"TV Movie, Fantasy, Animation, Action, Thriller, Science Fiction",2.096572,5.9,English
